month,m2,unit,source,time_scraped
Tháng 7/2020,11163361,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2020,11118423,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2020,10928485,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2020,10779851,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2020,10755572,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2020,10672880,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2020,10758024,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2019,10573725,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2019,10274960,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2019,10138630,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2019,10083735,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2019,9949135,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2019,9860081,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2019,9866484,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2019,9706888,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2019,9546608,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2019,9478157,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2019,9376631,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
