time,open,high,low,close,volume,symbol,name,country
2025-07-27,41515.91,41534.21,40997.87,40998.27,1065345200,N225,Nikkei 225,JP
2025-07-28,40767.77,40792.85,40563.53,40674.55,1010420600,N225,Nikkei 225,JP
2025-07-29,40744.53,40744.53,40556.61,40654.7,1237102400,N225,Nikkei 225,JP
2025-07-30,40693.0,41151.25,40639.32,41069.82,1348190600,N225,Nikkei 225,JP
2025-07-31,41029.84,41064.73,40588.17,40799.6,1483930600,N225,Nikkei 225,JP
2025-08-03,40118.81,40332.25,39850.52,40290.7,1307569200,N225,Nikkei 225,JP
2025-08-04,40521.0,40649.38,40421.88,40549.54,1452625700,N225,Nikkei 225,JP
2025-08-05,40430.46,40850.89,40423.13,40794.86,1455095700,N225,Nikkei 225,JP
2025-08-06,40668.19,41164.11,40668.19,41059.15,1540331700,N225,Nikkei 225,JP
2025-08-07,41283.7,42033.92,41248.05,41820.48,1832738600,N225,Nikkei 225,JP
2025-08-11,42098.32,42999.71,42083.58,42718.17,1761260100,N225,Nikkei 225,JP
2025-08-12,43090.91,43451.46,43008.2,43274.67,1540527000,N225,Nikkei 225,JP
2025-08-13,43129.18,43199.83,42606.73,42649.26,1277933600,N225,Nikkei 225,JP
2025-08-14,42866.38,43405.43,42736.86,43378.31,1345171800,N225,Nikkei 225,JP
2025-08-17,43452.9,43835.12,43390.22,43714.31,1242386600,N225,Nikkei 225,JP
2025-08-18,43846.55,43876.42,43411.97,43546.29,1170553000,N225,Nikkei 225,JP
2025-08-19,43400.66,43425.78,42724.15,42888.55,1166621800,N225,Nikkei 225,JP
2025-08-20,42783.26,42926.11,42564.3,42610.17,1030504200,N225,Nikkei 225,JP
2025-08-21,42629.81,42720.57,42331.39,42633.29,977568100,N225,Nikkei 225,JP
2025-08-24,42977.27,43201.42,42681.37,42807.82,1021530000,N225,Nikkei 225,JP
2025-08-25,42619.66,42703.27,42137.62,42394.4,1625793000,N225,Nikkei 225,JP
2025-08-26,42476.09,42628.04,42270.18,42520.27,1083674700,N225,Nikkei 225,JP
2025-08-27,42308.14,42828.79,42299.79,42828.79,1127077200,N225,Nikkei 225,JP
2025-08-28,42774.29,42807.03,42611.31,42718.47,1148556000,N225,Nikkei 225,JP
2025-08-31,42362.71,42454.99,41835.17,42188.79,966394700,N225,Nikkei 225,JP
2025-09-01,42299.63,42473.67,42084.78,42310.49,997854700,N225,Nikkei 225,JP
2025-09-02,42085.66,42293.54,41863.2,41938.89,1302419300,N225,Nikkei 225,JP
2025-09-03,42093.7,42608.8,42066.59,42580.27,1102572000,N225,Nikkei 225,JP
2025-09-04,42983.47,43220.94,42783.54,43018.75,1182560600,N225,Nikkei 225,JP
2025-09-07,43451.07,43838.6,43343.58,43643.81,1154834600,N225,Nikkei 225,JP
2025-09-08,43907.55,44185.73,43452.74,43459.29,1174571100,N225,Nikkei 225,JP
2025-09-09,43513.16,43848.77,43509.02,43837.67,1156784000,N225,Nikkei 225,JP
2025-09-10,43876.22,44396.95,43870.54,44372.5,1072982700,N225,Nikkei 225,JP
2025-09-11,44803.3,44888.02,44548.57,44768.12,1248643500,N225,Nikkei 225,JP
2025-09-15,44948.85,45055.38,44616.32,44902.27,1116962000,N225,Nikkei 225,JP
